2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 0008fdc9.png, success: True
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 0008fdc9.png, success: True
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 0008fdc9.png, success: True
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 00090191.png, success: False
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 00090191.png, success: True
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 00090191.png, success: True
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 00090191.png, success: False
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 0009021f.png, success: True
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 0009021f.png, success: True
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 0009021f.png, success: True
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 0009021f.png, success: False
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 00090355.png, success: True
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 00090355.png, success: True
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 00090355.png, success: True
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 00090355.png, success: True
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 000903e9.png, success: False
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 000903e9.png, success: False
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 000903e9.png, success: False
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 000903e9.png, success: True
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 000905c6.png, success: True
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 000905c6.png, success: True
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 000905c6.png, success: False
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 000905c6.png, success: False
2023-12-18 20:52:55,246 - line:155 - INFO==> Epoch: 1, file name: 00090606.png, success: True
2023-12-18 20:52:55,247 - line:155 - INFO==> Epoch: 1, file name: 00090606.png, success: True
2023-12-18 20:52:55,247 - line:155 - INFO==> Epoch: 1, file name: 00090606.png, success: True
2023-12-18 20:52:55,247 - line:155 - INFO==> Epoch: 1, file name: 00090606.png, success: True
2023-12-18 20:52:55,247 - line:155 - INFO==> Epoch: 1, file name: 000906ec.png, success: True
2023-12-18 20:52:55,247 - line:155 - INFO==> Epoch: 1, file name: 000906ec.png, success: True
2023-12-18 20:52:55,247 - line:155 - INFO==> Epoch: 1, file name: 000906ec.png, success: True
2023-12-18 20:52:55,247 - line:155 - INFO==> Epoch: 1, file name: 000906ec.png, success: True
2023-12-18 20:52:55,247 - line:155 - INFO==> Epoch: 1, file name: 000907ba.png, success: False
2023-12-18 20:52:55,247 - line:155 - INFO==> Epoch: 1, file name: 000907ba.png, success: False
2023-12-18 20:52:55,247 - line:155 - INFO==> Epoch: 1, file name: 000907ba.png, success: True
2023-12-18 20:52:55,247 - line:155 - INFO==> Epoch: 1, file name: 000907ba.png, success: True
